样本序号,匹配距离,预测(1=幻觉)
1,0.7282,1
2,0.5902,0
3,0.7653,1
4,0.5193,0
5,0.4081,0
6,0.439,0
7,0.1551,0
8,0.1254,0
9,0.7072,0
10,1.4969,1
11,0.1401,0
12,0.7438,1
13,0.4397,0
14,0.4911,0
15,0.4511,0
16,0.1249,0
17,0.8748,1
18,1.2078,1
19,0.5928,0
20,1.3096,1
21,0.5696,0
22,0.8127,1
23,0.1623,0
24,0.7973,1
25,0.363,0
26,0.543,0
27,0.8795,1
28,0.5687,0
29,0.5857,0
30,0.8062,1
31,0.6572,0
32,0.1975,0
33,0.6944,0
34,0.71,0
35,0.9136,1
36,0.5377,0
37,0.6679,0
38,0.5559,0
39,0.6693,0
40,0.6371,0
41,0.8609,1
42,0.251,0
43,0.6875,0
44,0.6167,0
45,1.181,1
46,0.1121,0
47,0.3986,0
48,0.8954,1
49,0.3721,0
50,0.2301,0
