样本序号,匹配距离,预测(1=幻觉)
1,0.11,0
2,1.0168,1
3,0.8267,0
4,0.5821,0
5,0.8442,0
6,0.9389,1
7,1.0243,1
8,0.7446,0
9,0.3549,0
10,0.7419,0
11,0.6087,0
12,0.9875,1
13,0.9146,1
14,0.9734,1
15,0.687,0
16,0.4588,0
17,1.359,1
18,1.1733,1
19,1.1251,1
20,1.293,1
21,0.6101,0
22,0.5743,0
23,1.132,1
24,0.9668,1
25,1.2726,1
26,0.0265,0
27,0.0084,0
28,1.0354,1
29,0.9984,1
30,0.9113,1
31,0.975,1
32,1.7555,1
33,0.5702,0
34,0.9237,1
35,1.2426,1
36,1.2139,1
37,0.5085,0
38,1.1243,1
39,0.7773,0
40,0.6264,0
41,0.6235,0
42,0.2944,0
43,0.5845,0
44,0.6542,0
45,0.9799,1
46,0.8523,0
47,0.6517,0
48,1.1191,1
49,0.8929,0
50,1.5642,1
