样本序号,匹配距离,幻觉判定结果
1,0.6615,存在图文语义不匹配幻觉
2,0.5393,存在图文语义不匹配幻觉
3,0.6991,存在图文语义不匹配幻觉
4,0.4736,存在图文语义不匹配幻觉
5,0.3727,存在图文语义不匹配幻觉
6,0.4016,存在图文语义不匹配幻觉
7,0.1418,存在图文语义不匹配幻觉
8,0.1145,存在图文语义不匹配幻觉
9,0.6443,存在图文语义不匹配幻觉
10,1.367,存在图文语义不匹配幻觉
11,0.1279,存在图文语义不匹配幻觉
12,0.6805,存在图文语义不匹配幻觉
13,0.4017,存在图文语义不匹配幻觉
14,0.4493,存在图文语义不匹配幻觉
15,0.4119,存在图文语义不匹配幻觉
16,0.1138,存在图文语义不匹配幻觉
17,0.802,存在图文语义不匹配幻觉
18,1.105,存在图文语义不匹配幻觉
19,0.5423,存在图文语义不匹配幻觉
20,1.1993,存在图文语义不匹配幻觉
21,0.5196,存在图文语义不匹配幻觉
22,0.7414,存在图文语义不匹配幻觉
23,0.1485,存在图文语义不匹配幻觉
24,0.7288,存在图文语义不匹配幻觉
25,0.3324,存在图文语义不匹配幻觉
26,0.4937,存在图文语义不匹配幻觉
27,0.7996,存在图文语义不匹配幻觉
28,0.5204,存在图文语义不匹配幻觉
29,0.5355,存在图文语义不匹配幻觉
30,0.7367,存在图文语义不匹配幻觉
31,0.6009,存在图文语义不匹配幻觉
32,0.1813,存在图文语义不匹配幻觉
33,0.6331,存在图文语义不匹配幻觉
34,0.6482,存在图文语义不匹配幻觉
35,0.8358,存在图文语义不匹配幻觉
36,0.492,存在图文语义不匹配幻觉
37,0.6088,存在图文语义不匹配幻觉
38,0.5083,存在图文语义不匹配幻觉
39,0.6108,存在图文语义不匹配幻觉
40,0.581,存在图文语义不匹配幻觉
41,0.7849,存在图文语义不匹配幻觉
42,0.2286,存在图文语义不匹配幻觉
43,0.6268,存在图文语义不匹配幻觉
44,0.5623,存在图文语义不匹配幻觉
45,1.0793,存在图文语义不匹配幻觉
46,0.1024,存在图文语义不匹配幻觉
47,0.3635,存在图文语义不匹配幻觉
48,0.8186,存在图文语义不匹配幻觉
49,0.3397,存在图文语义不匹配幻觉
50,0.211,存在图文语义不匹配幻觉
